Date,Apprehended,CBP,Transferred,HHS,Discharged,Weekday,Month,Year,Transfer_Efficiency,Transfer_Efficiency_Percent,Discharge_Effectiveness,Discharge_Effectiveness_Percent,Pipeline_Throughput,Pipeline_Throughput_Percent,System_Backlog,Backlog_Accumulation,Net_Flow,Outcome_Stability,Day_Type,Bottleneck
2023-01-12,33.0,53.0,34.0,6566.0,436.0,Thursday,2023-01,2023.0,0.6415094339622641,64.15094339622641,0.06640268047517514,6.640268047517514,13.212121212121213,1321.2121212121212,6619.0,-403.0,-402.0,,Weekday,False
2023-01-22,32.0,49.0,39.0,7122.0,227.0,Sunday,2023-01,2023.0,0.7959183673469388,79.59183673469387,0.031873069362538614,3.1873069362538615,7.09375,709.375,7171.0,-195.0,-188.0,0.9761658161746108,Weekend,False
2023-01-23,32.0,50.0,39.0,7280.0,181.0,Monday,2023-01,2023.0,0.78,78.0,0.02486263736263736,2.4862637362637363,5.65625,565.625,7330.0,-149.0,-142.0,0.9782463317170847,Weekday,False
2023-01-24,47.0,42.0,47.0,7433.0,175.0,Tuesday,2023-01,2023.0,1.119047619047619,111.90476190476191,0.023543656666218216,2.3543656666218213,3.723404255319149,372.3404255319149,7475.0,-128.0,-128.0,0.9802425193279303,Weekday,False
2023-01-25,20.0,22.0,41.0,7538.0,180.0,Wednesday,2023-01,2023.0,1.8636363636363635,186.36363636363635,0.02387901300079597,2.387901300079597,9.0,900.0,7560.0,-160.0,-139.0,0.9819624990817172,Weekday,False
2023-01-29,23.0,45.0,11.0,7472.0,303.0,Sunday,2023-01,2023.0,0.24444444444444444,24.444444444444443,0.04055139186295503,4.055139186295503,13.173913043478262,1317.3913043478262,7517.0,-280.0,-292.0,0.9836337530745306,Weekend,False
2023-01-30,34.0,54.0,29.0,7743.0,196.0,Monday,2023-01,2023.0,0.5370370370370371,53.70370370370371,0.025313186103577426,2.5313186103577427,5.764705882352941,576.4705882352941,7797.0,-162.0,-167.0,0.9846003872012079,Weekday,False
2023-01-31,26.0,36.0,36.0,7803.0,158.0,Tuesday,2023-01,2023.0,1.0,100.0,0.020248622324746893,2.0248622324746894,6.076923076923077,607.6923076923076,7839.0,-132.0,-122.0,0.9931929720777307,Weekday,False
2023-02-01,25.0,32.0,27.0,7903.0,231.0,Wednesday,2023-02,2023.0,0.84375,84.375,0.029229406554472984,2.9229406554472983,9.24,924.0,7935.0,-206.0,-204.0,0.9934225826767088,Weekday,False
2023-02-02,15.0,13.0,23.0,7879.0,298.0,Thursday,2023-02,2023.0,1.7692307692307692,176.9230769230769,0.03782205863688285,3.782205863688285,19.866666666666667,1986.6666666666667,7892.0,-283.0,-275.0,0.9923490400233382,Weekday,False
2023-02-05,16.0,18.0,15.0,7586.0,342.0,Sunday,2023-02,2023.0,0.8333333333333334,83.33333333333334,0.04508304771948326,4.508304771948326,21.375,2137.5,7604.0,-326.0,-327.0,0.9906531254228658,Weekend,False
2023-02-06,11.0,22.0,12.0,7720.0,196.0,Monday,2023-02,2023.0,0.5454545454545454,54.54545454545454,0.02538860103626943,2.5388601036269427,17.818181818181817,1781.8181818181818,7742.0,-185.0,-184.0,0.9908437153784813,Weekday,False
